method,patch_number,patch_name,delta_e00
Fixed WB,1,Dark Skin,7.2140127793689475
Fixed WB,2,Light Skin,7.052811573248338
Fixed WB,3,Blue Sky,7.838533208021074
Fixed WB,4,Foliage,8.31054266885011
Fixed WB,5,Blue Flower,9.888193344809702
Fixed WB,6,Bluish Green,6.8088473926744255
Fixed WB,7,Orange,3.5375517052600083
Fixed WB,8,Purplish Blue,6.585190467744633
Fixed WB,9,Moderate Red,8.036963716202777
Fixed WB,10,Purple,6.705419998785811
Fixed WB,11,Yellow Green,6.755960223786268
Fixed WB,12,Orange Yellow,6.05768049708594
Fixed WB,13,Blue,4.74979679365619
Fixed WB,14,Green,6.215043578483856
Fixed WB,15,Red,8.669190993653308
Fixed WB,16,Yellow,7.724654535287356
Fixed WB,17,Magenta,2.2830976586941762
Fixed WB,18,Cyan,7.465068367928327
Fixed WB,19,White,14.45923785163964
Fixed WB,20,Neutral 8,12.945385745247128
Fixed WB,21,Neutral 6.5,12.666884754558765
Fixed WB,22,Neutral 5,13.472103410136834
Fixed WB,23,Neutral 3.5,11.401720065777795
Fixed WB,24,Black,8.442250753197419
Norm2 AWB,1,Dark Skin,12.402900707908566
Norm2 AWB,2,Light Skin,18.35722721525097
Norm2 AWB,3,Blue Sky,9.302827164161853
Norm2 AWB,4,Foliage,13.763169785360283
Norm2 AWB,5,Blue Flower,13.571669473009152
Norm2 AWB,6,Bluish Green,20.619523747201974
Norm2 AWB,7,Orange,2.0776210048588895
Norm2 AWB,8,Purplish Blue,9.255530562498015
Norm2 AWB,9,Moderate Red,7.137827862752341
Norm2 AWB,10,Purple,13.871691967677856
Norm2 AWB,11,Yellow Green,9.94820792720375
Norm2 AWB,12,Orange Yellow,5.506768322107645
Norm2 AWB,13,Blue,10.156337365468762
Norm2 AWB,14,Green,10.921555044060527
Norm2 AWB,15,Red,3.5857450278900678
Norm2 AWB,16,Yellow,7.330402943031236
Norm2 AWB,17,Magenta,10.95380807717168
Norm2 AWB,18,Cyan,17.29499471758129
Norm2 AWB,19,White,22.46428180605851
Norm2 AWB,20,Neutral 8,19.879941996265245
Norm2 AWB,21,Neutral 6.5,18.90546897928535
Norm2 AWB,22,Neutral 5,18.214359815959522
Norm2 AWB,23,Neutral 3.5,17.544654935525102
Norm2 AWB,24,Black,14.509409083433876
Gray World,1,Dark Skin,14.932391069348057
Gray World,2,Light Skin,20.544537399343273
Gray World,3,Blue Sky,9.421481930178482
Gray World,4,Foliage,15.603545298080366
Gray World,5,Blue Flower,13.893219498739807
Gray World,6,Bluish Green,22.385889253726745
Gray World,7,Orange,3.562825344497725
Gray World,8,Purplish Blue,10.048815907213067
Gray World,9,Moderate Red,8.77670410670666
Gray World,10,Purple,14.394104034851374
Gray World,11,Yellow Green,10.543664947891152
Gray World,12,Orange Yellow,5.410839619793284
Gray World,13,Blue,10.846135914598356
Gray World,14,Green,12.58304262343755
Gray World,15,Red,4.491938569030495
Gray World,16,Yellow,6.805789125243889
Gray World,17,Magenta,11.725417300357138
Gray World,18,Cyan,18.384012060140844
Gray World,19,White,22.887641729749497
Gray World,20,Neutral 8,20.897124185295993
Gray World,21,Neutral 6.5,19.93644234937188
Gray World,22,Neutral 5,19.46169656934354
Gray World,23,Neutral 3.5,18.64367953596674
Gray World,24,Black,15.932818281244344
PCA AWB,1,Dark Skin,3.035801689047131
PCA AWB,2,Light Skin,5.7075540059755445
PCA AWB,3,Blue Sky,8.102479794865149
PCA AWB,4,Foliage,8.0130415144377
PCA AWB,5,Blue Flower,10.438906428054638
PCA AWB,6,Bluish Green,12.208987884042788
PCA AWB,7,Orange,2.2514540447105214
PCA AWB,8,Purplish Blue,6.806873833214471
PCA AWB,9,Moderate Red,3.4578396395373594
PCA AWB,10,Purple,9.242674211238196
PCA AWB,11,Yellow Green,6.477641125817332
PCA AWB,12,Orange Yellow,5.0178942539724645
PCA AWB,13,Blue,6.975629477539089
PCA AWB,14,Green,5.981503299818127
PCA AWB,15,Red,6.505732139012371
PCA AWB,16,Yellow,6.518262081583076
PCA AWB,17,Magenta,5.67856956418323
PCA AWB,18,Cyan,11.720764934216712
PCA AWB,19,White,16.57540660673126
PCA AWB,20,Neutral 8,13.916541452171867
PCA AWB,21,Neutral 6.5,12.947532389398495
PCA AWB,22,Neutral 5,11.783363047218598
PCA AWB,23,Neutral 3.5,10.693661080761412
PCA AWB,24,Black,8.359938667354166
Hybrid AWB,1,Dark Skin,11.561411600027457
Hybrid AWB,2,Light Skin,17.36856462299991
Hybrid AWB,3,Blue Sky,9.145242106446027
Hybrid AWB,4,Foliage,12.854101184415551
Hybrid AWB,5,Blue Flower,13.152522644640536
Hybrid AWB,6,Bluish Green,19.93658189716614
Hybrid AWB,7,Orange,1.918513937645672
Hybrid AWB,8,Purplish Blue,9.038295547768087
Hybrid AWB,9,Moderate Red,6.458846564903723
Hybrid AWB,10,Purple,13.34519697276173
Hybrid AWB,11,Yellow Green,9.22662704534488
Hybrid AWB,12,Orange Yellow,5.233053028351501
Hybrid AWB,13,Blue,9.903932490141795
Hybrid AWB,14,Green,10.157706150109362
Hybrid AWB,15,Red,3.7791588652259995
Hybrid AWB,16,Yellow,6.833276268983593
Hybrid AWB,17,Magenta,10.397443812285987
Hybrid AWB,18,Cyan,16.896114237715356
Hybrid AWB,19,White,22.236464230908314
Hybrid AWB,20,Neutral 8,19.343465508056955
Hybrid AWB,21,Neutral 6.5,18.405973142954004
Hybrid AWB,22,Neutral 5,17.670333750705442
Hybrid AWB,23,Neutral 3.5,17.096109437670652
Hybrid AWB,24,Black,13.993875921510167
Hybrid V3,1,Dark Skin,3.035801689047131
Hybrid V3,2,Light Skin,5.7075540059755445
Hybrid V3,3,Blue Sky,8.102479794865149
Hybrid V3,4,Foliage,8.0130415144377
Hybrid V3,5,Blue Flower,10.438906428054638
Hybrid V3,6,Bluish Green,12.208987884042788
Hybrid V3,7,Orange,2.2514540447105214
Hybrid V3,8,Purplish Blue,6.806873833214471
Hybrid V3,9,Moderate Red,3.4578396395373594
Hybrid V3,10,Purple,9.242674211238196
Hybrid V3,11,Yellow Green,6.477641125817332
Hybrid V3,12,Orange Yellow,5.0178942539724645
Hybrid V3,13,Blue,6.975629477539089
Hybrid V3,14,Green,5.981503299818127
Hybrid V3,15,Red,6.505732139012371
Hybrid V3,16,Yellow,6.518262081583076
Hybrid V3,17,Magenta,5.67856956418323
Hybrid V3,18,Cyan,11.720764934216712
Hybrid V3,19,White,16.57540660673126
Hybrid V3,20,Neutral 8,13.916541452171867
Hybrid V3,21,Neutral 6.5,12.947532389398495
Hybrid V3,22,Neutral 5,11.783363047218598
Hybrid V3,23,Neutral 3.5,10.693661080761412
Hybrid V3,24,Black,8.359938667354166
